emoji	signification
😀	Visage Rieur
😃	Visage Souriant Avec De Grands Yeux
😄	Visage Très Souriant Aux Yeux Rieurs
😁	Visage Souriant Aux Yeux Rieurs
😆	Visage Souriant Avec Yeux Plissés
😅	Visage Souriant Avec Une Goutte De Sueur
🤣	Se Rouler Par Terre De Rire
😂	Visage Riant Aux Larmes
🙂	Visage Avec Un Léger Sourire
🙃	Tête à L’envers
😉	Visage Faisant Un Clin D’œil
😊	Visage Souriant Avec Yeux Rieurs
😇	Visage Souriant Avec Auréole
🥰	Visage Souriant Avec Cœurs
😍	Visage Souriant Avec Yeux En Forme De Cœur
🤩	Visage Avec Des étoiles à La Place Des Yeux
😘	Visage Envoyant Un Bisou
😗	Visage Faisant Un Bisou
☺️	Visage Souriant
😚	Visage Faisant Un Bisou Avec Les Yeux Fermés
😙	Visage Aux Yeux Rieurs Faisant Un Bisou
🥲	Visage Souriant Avec Une Larme
😋	Miam
😛	Visage Qui Tire La Langue
😜	Visage Qui Tire La Langue Et Fait Un Clin D’œil
🤪	Tête De Fou
😝	Visage Qui Tire La Langue Les Yeux Plissés
🤑	Argent Dans Les Yeux Et La Bouche
🤗	Visage Qui Fait Un Câlin
🤭	Visage Avec Une Main Sur La Bouche
🤫	Visage Avec Un Doigt Sur La Bouche
🤔	Visage En Pleine Réflexion
🤐	Visage Avec Bouche Fermeture éclair
🤨	Visage Avec Les Sourcils Relevés
😐	Visage Neutre
😑	Visage Sans Expression
😶	Visage Sans Bouche
😏	Visage Avec Un Sourire Malin
😒	Visage Blasé
🙄	Visage Roulant Des Yeux
😬	Visage Grimaçant
🤥	Visage De Menteur
😌	Visage Soulagé
😔	Visage Pensif
😪	Visage Endormi
🤤	Visage Qui Bave
😴	Visage Somnolent
😷	Visage Avec Masque
🤒	Visage Avec Thermomètre
🤕	Visage Avec Bandage Autour De La Tête
🤢	Visage Nauséeux
🤮	Visage Qui Vomit
🤧	Visage Qui éternue
🥵	Visage Rouge Et Chaud
🥶	Visage Bleu Et Froid
🥴	Visage éméché
😵	Visage étourdi
🤯	Tête Qui Explose
🤠	Visage Avec Chapeau De Cowboy
🥳	Visage Festif
🥸	Visage Déguisé
😎	Visage Avec Lunettes De Soleil
🤓	Visage De Geek
🧐	Visage Avec Un Monocle
😕	Visage Confus
😟	Visage Inquiet
🙁	Visage Légèrement Mécontent
☹️	Visage Mécontent
😮	Visage Avec Bouche Ouverte
😯	Visage ébahi
😲	Visage Stupéfait
😳	Visage Qui Rougit
🥺	Visage Implorant
😦	Visage Mécontent Avec Bouche Ouverte
😧	Visage Angoissé
😨	Visage Effrayé
😰	Visage Anxieux Avec Goutte De Sueur
😥	Visage Triste Mais Soulagé
😢	Visage Qui Pleure
😭	Visage Qui Pleure à Chaudes Larmes
😱	Visage Qui Hurle De Peur
😖	Visage Déconcerté
😣	Visage Persévérant
😞	Visage Déçu
😓	Visage Démoralisé Avec Goutte De Sueur
😩	Visage épuisé
😫	Visage Fatigué
🥱	Visage Bâillant
😤	Visage Avec Fumée Sortant Des Narines
😡	Visage Boudeur
😠	Visage En Colère
🤬	Visage Avec Des Symboles Dans La Bouche
😈	Visage Souriant Avec Des Cornes
👿	Visage En Colère Avec Des Cornes
💀	Crâne
☠️	Tête De Mort
💩	Tas De Crotte
🤡	Visage De Clown
👹	Ogre
👺	Monstre Japonais
👻	Fantôme
👽	Alien
👾	Monstre De L’espace
🤖	Robot
😺	Chat Qui Sourit
😸	Chat Qui Sourit Avec Des Yeux Rieurs
😹	Chat Qui Pleure De Joie
😻	Chat Souriant Aux Yeux En Cœurs
😼	Chat Avec Sourire En Coin
😽	Chat Qui Fait Un Bisou
🙀	Chat Fatigué
😿	Chat Qui Pleure
😾	Chat Qui Boude
🙈	Singe Ne Rien Voir
🙉	Singe Ne Rien Entendre
🙊	Singe Ne Rien Dire
💋	Trace De Rouge à Lèvres
💌	Lettre D’amour
💘	Cœur Et Flèche
💝	Cœur Avec Ruban
💖	Cœur étincelant
💗	Cœur Grandissant
💓	Cœur Battant
💞	Cœurs Qui Tournent
💕	Deux Cœurs
💟	Décoration Avec Cœur
❣️	Cœur Point D’exclamation
💔	Cœur Brisé
❤️	Cœur Rouge
🧡	Cœur Orange
💛	Cœur Jaune
💚	Cœur Vert
💙	Cœur Bleu
💜	Cœur Violet
🤎	Cœur Marron
🖤	Cœur Noir
🤍	Cœur Blanc
💯	Cent Points
💢	Symbole De Colère
💥	Explosion
💫	étourdissement
💦	Gouttes De Sueur
💨	Décamper
🕳️	Trou
💣	Bombe
💬	Bulle De Parole
👁️‍🗨️	œil Dans Une Bulle De BD
🗨️	Bulle De Parole Gauche
🗯️	Bulle Colère Droite
💭	Bulle De Pensée
💤	Endormi
👋	Signe De La Main
👋🏻	Signe De La Main : Peau Claire
👋🏼	Signe De La Main : Peau Moyennement Claire
👋🏽	Signe De La Main : Peau Légèrement Mate
👋🏾	Signe De La Main : Peau Mate
👋🏿	Signe De La Main : Peau Foncée
🤚	Dos De Main Levée
🤚🏻	Dos De Main Levée : Peau Claire
🤚🏼	Dos De Main Levée : Peau Moyennement Claire
🤚🏽	Dos De Main Levée : Peau Légèrement Mate
🤚🏾	Dos De Main Levée : Peau Mate
🤚🏿	Dos De Main Levée : Peau Foncée
🖐️	Main Levée Doigts écartés
🖐🏻	Main Levée Doigts écartés : Peau Claire
🖐🏼	Main Levée Doigts écartés : Peau Moyennement Claire
🖐🏽	Main Levée Doigts écartés : Peau Légèrement Mate
🖐🏾	Main Levée Doigts écartés : Peau Mate
🖐🏿	Main Levée Doigts écartés : Peau Foncée
✋	Main Levée
✋🏻	Main Levée : Peau Claire
✋🏼	Main Levée : Peau Moyennement Claire
✋🏽	Main Levée : Peau Légèrement Mate
✋🏾	Main Levée : Peau Mate
✋🏿	Main Levée : Peau Foncée
🖖	Salut Vulcain
🖖🏻	Salut Vulcain : Peau Claire
🖖🏼	Salut Vulcain : Peau Moyennement Claire
🖖🏽	Salut Vulcain : Peau Légèrement Mate
🖖🏾	Salut Vulcain : Peau Mate
🖖🏿	Salut Vulcain : Peau Foncée
👌	Ok
👌🏻	Ok : Peau Claire
👌🏼	Ok : Peau Moyennement Claire
👌🏽	Ok : Peau Légèrement Mate
👌🏾	Ok : Peau Mate
👌🏿	Ok : Peau Foncée
🤌	Bout Des Doigts Joints
🤌🏻	Bout Des Doigts Joints : Peau Claire
