Source,Date,Author,Comment
E5liFt9DK-o,2021-05-24T04:20:37Z,LEP,"Franchement elle vous prend pour des débiles,Elle devrait travailler sa culture générale un peut plus. Amicalement"
E5liFt9DK-o,2021-05-23T23:24:43Z,Nadjim Tidjani, 🤮🤮
E5liFt9DK-o,2021-05-23T23:12:02Z,ouiza moukah, les cons
E5liFt9DK-o,2021-05-23T22:05:21Z,nessili sabir,Qu el niveaux
E5liFt9DK-o,2021-05-23T21:22:54Z,Tmouchent chohra,Ki tkabri tandmi 3la had jyaha li konti diriha 
E5liFt9DK-o,2021-05-23T19:28:14Z,Nabil Nabil, toooop 😒😒
E5liFt9DK-o,2021-05-23T18:32:16Z,Mouh Sami, .💩💩💩💩
E5liFt9DK-o,2021-05-23T17:07:49Z,Abdou bouabdallah,🐷🐷🐷🐷🐷🐷🐷💩🖕
E5liFt9DK-o,2021-05-23T17:03:29Z,Ange Mima,Walah bassahtha 3eycha la vie
E5liFt9DK-o,2021-05-23T17:02:08Z,انتيإليفemal Dhin, . 
E5liFt9DK-o,2021-05-23T13:02:38Z,Rania Bouallag, 😕
E5liFt9DK-o,2021-05-23T09:15:38Z,lila ben,Elle est vraiment débile
E5liFt9DK-o,2021-05-23T04:35:46Z,Tarik Bouachour, .. 
E5liFt9DK-o,2021-05-23T00:00:49Z,Aylen Gcfj,🤔🤔🤔🤔🤔
E5liFt9DK-o,2021-05-22T18:20:50Z,jack Daniel,La classe lahi barek ❤🌹
E5liFt9DK-o,2021-05-22T17:59:01Z,Soltani Kâder,Noumedia bazoul raki ghiiir Tetsagmi surtt ma lor
E5liFt9DK-o,2021-05-22T17:40:30Z,Ridha Ouzzani, 😑 
E5liFt9DK-o,2021-05-22T14:49:59Z,ام اسحاق ام اسحاق, 🐛🤣🤣🤣🤣
E5liFt9DK-o,2021-05-22T07:59:56Z,Faiza Abdelli," ( ), "
E5liFt9DK-o,2021-05-22T07:46:45Z,Moncef BENTEBOULA,💩💩💩💩💩💩
E5liFt9DK-o,2021-05-22T07:46:34Z,Moncef BENTEBOULA,🤑🤑🤑🤑🤑
E5liFt9DK-o,2021-05-22T07:38:59Z,Amine Chahli, 😐
E5liFt9DK-o,2021-05-22T03:40:11Z,Amine Smara,. . . 
E5liFt9DK-o,2021-05-21T18:03:26Z,Madjid Mahiout,Ravissante et magnifique lady
E5liFt9DK-o,2021-05-21T17:35:08Z,Nabila Laouamen, 😂😂
E5liFt9DK-o,2021-05-21T16:20:49Z,Sassi Didine,Wchno hadd tmanyikkk
E5liFt9DK-o,2021-05-21T14:46:23Z,Sissina Sirouna,Walking dead 💀 zombi
E5liFt9DK-o,2021-05-21T11:08:30Z,Amir Amine, Yasin boma😉
E5liFt9DK-o,2021-05-21T07:03:33Z,Manal Talbi, . . . : : . . . .
E5liFt9DK-o,2021-05-20T23:13:42Z,Fares Walhi, 🤮🤮🤮
E5liFt9DK-o,2021-05-20T22:14:34Z,شُـ‘ـُيُـ‘ـُمُـ‘ـُٱء ヅ,😒
E5liFt9DK-o,2021-05-20T14:27:03Z,Lydia Medjkane,On dirai ghir hiya li 3endha qa3 incroyable
E5liFt9DK-o,2021-05-20T12:19:46Z,kha yal, ..... 
E5liFt9DK-o,2021-05-20T12:00:49Z,فكشفنا عنك غطاءك فبصرك اليوم حديد, 👀👀
E5liFt9DK-o,2021-05-20T08:56:02Z,Moon Light, .... 
E5liFt9DK-o,2021-05-19T22:51:18Z,Salah Rouji,Ya faska hadi tarma wala basina
E5liFt9DK-o,2021-05-19T22:24:26Z,lazri Nassim,Sakhnatlak farfara had yamat
E5liFt9DK-o,2021-05-19T22:06:41Z,Rahma Rahma, 🥴🤕
E5liFt9DK-o,2021-05-19T21:54:13Z,Princesse BR, 😔 
E5liFt9DK-o,2021-05-19T21:37:58Z,Dah Manus,J adore ton style
E5liFt9DK-o,2021-05-19T19:16:11Z,Zaki Zaki,Mgat3a
E5liFt9DK-o,2021-05-19T18:57:31Z,Hissoka Alg, 😋
E5liFt9DK-o,2021-05-19T17:21:30Z,slash slash,Vous voulez la democracy ! Voila
E5liFt9DK-o,2021-05-19T17:20:00Z,Amira Lina, 🤒
E5liFt9DK-o,2021-05-19T16:59:07Z,Fad Fad,Chehal djayha meskina
E5liFt9DK-o,2021-05-19T15:13:46Z,نجاة سعيدة, 🤪
E5liFt9DK-o,2021-05-19T13:36:53Z,Sam Sam, 🤮
E5liFt9DK-o,2021-05-19T13:17:58Z,Mohamed Aroun, 🔥🔥
E5liFt9DK-o,2021-05-19T09:20:13Z,nejmat Elil,Dek zkayek malh
E5liFt9DK-o,2021-05-19T08:45:11Z,أمة الله, 🤮🤮🤮🤮🤮🤮
E5liFt9DK-o,2021-05-19T08:06:44Z,Karim Boudria,Direction nulle part marche marche
E5liFt9DK-o,2021-05-19T04:23:05Z,Nas Sima,💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩
E5liFt9DK-o,2021-05-19T02:38:42Z,علي شيهاب, 😉😉😁😊
E5liFt9DK-o,2021-05-18T21:40:21Z,Mustapha Belamri,Allah ijib Se3et 3e9al nchallah allah chafik
E5liFt9DK-o,2021-05-18T21:34:01Z,Semsoum Semsoum,Lproci ken yji ka3at za3ma war9a wla yji bnedem l7afd wselema yarabi 3labiha te3 bkri kenou yzewjou tofla sghira
E5liFt9DK-o,2021-05-18T20:29:23Z,Samouna Mouna, 😣 
E5liFt9DK-o,2021-05-18T19:43:34Z,fatia fatia fh, 🤐
E5liFt9DK-o,2021-05-18T18:28:43Z,Lila Bouzid,Une vraie débile
E5liFt9DK-o,2021-05-18T16:31:53Z,Hsina Sina,😘😘😘😘
E5liFt9DK-o,2021-05-18T16:25:07Z,Salim Sam, ( ) 
E5liFt9DK-o,2021-05-18T15:17:38Z,جزائرية Algérienne,. . .
E5liFt9DK-o,2021-05-18T15:09:41Z,Fadel Dekar, . . . 
E5liFt9DK-o,2021-05-18T13:28:41Z,Lyes22 Lyes, 👎👎👎👎
E5liFt9DK-o,2021-05-18T09:53:36Z,ime ne, .. .. .. .. 
E5liFt9DK-o,2021-05-18T09:52:08Z,ime ne, ..
E5liFt9DK-o,2021-05-18T07:31:22Z,Nora Hellali, 😢😢😢
E5liFt9DK-o,2021-05-18T07:24:30Z,Bariza Boulbahri, ..... 
E5liFt9DK-o,2021-05-18T06:51:46Z,Nadia Soltana,Vraie zebla
E5liFt9DK-o,2021-05-18T02:01:53Z,Amani Walid, . . . 
E5liFt9DK-o,2021-05-18T02:01:13Z,malek garnier, 😁
E5liFt9DK-o,2021-05-18T01:04:59Z,adlane med,Malkitich li ynikak
E5liFt9DK-o,2021-05-17T23:09:30Z,newal Salhi,Corona louken jat bnadam
E5liFt9DK-o,2021-05-17T20:49:53Z,ورود الياسمين, .......
E5liFt9DK-o,2021-05-17T17:19:35Z,Lila lali,C koi cette demarche ca me degoute
E5liFt9DK-o,2021-05-17T13:01:26Z,ندى الريحان, 😷😷😷😩😩
E5liFt9DK-o,2021-05-17T11:24:07Z,Meriem Batoul, 🤔
E5liFt9DK-o,2021-05-17T10:34:35Z,benbida younes, 1994 
E5liFt9DK-o,2021-05-17T04:14:33Z,Toufik Benchehida,clouchara tfou 3lik
E5liFt9DK-o,2021-05-17T00:33:36Z,Mohammed B M,Hoo pourquoi vois marche comca rahou lasek fik
E5liFt9DK-o,2021-05-16T23:29:46Z,Khadija Elkaloussi, 😂😂
E5liFt9DK-o,2021-05-16T22:48:04Z,Li Na, 😕😕😕😕😕😕😕
E5liFt9DK-o,2021-05-16T22:29:32Z,Kenza Nissas,Bzaffff bzafffffffffffffff 🤮🤮🤮 tu frime trop wallahh cest trop dommage
E5liFt9DK-o,2021-05-16T21:05:43Z,Fehima Touati,Bête
E5liFt9DK-o,2021-05-15T22:03:39Z,Islama Moudjbe,Kebri chwiya fi3akleke
E5liFt9DK-o,2021-05-15T16:07:06Z,آلاء هبة الله, . !!!!!!!
E5liFt9DK-o,2021-05-15T15:24:31Z,Linda touati,Walah ila yhachmo ga3 machi classe yaaaa rab
E5liFt9DK-o,2021-05-14T20:34:01Z,Mėlissa mimo, 😫
E5liFt9DK-o,2021-05-14T05:14:49Z,Sadek Ltb,Darete iponj hhhh
E5liFt9DK-o,2021-05-14T01:07:17Z,Sadi Aymen,Choufi Mahrez kasha mara ou soolking galha 3alike ay rabi sahli ajrie
E5liFt9DK-o,2021-05-13T23:47:52Z,Kheiro Ben,M taLi mLiha L nike 😍😋😋😋
E5liFt9DK-o,2021-05-13T22:50:24Z,Titous Souhila,Ya9atchi chhal jayha kbira fal lage o sghira fi 3a9lak Samta jayha bahloula
E5liFt9DK-o,2021-05-13T22:36:39Z,Farid Ben, . 
E5liFt9DK-o,2021-05-13T22:19:35Z,Zayad Jojo, .......🤮🤮
E5liFt9DK-o,2021-05-13T22:15:27Z,Super Man,Ehhhhhhh .
E5liFt9DK-o,2021-05-13T21:34:45Z,ķəñ źæ,Bsmi allah rahmane rahhim achal it3ofagh tmakhlouqth ayi tuli ghef uliw
E5liFt9DK-o,2021-05-13T21:18:19Z,Hichem Hamidi,Hhhhhhhhhdjyha
E5liFt9DK-o,2021-05-13T17:37:55Z,Inter Stellar,Concentré taa khra
E5liFt9DK-o,2021-05-13T15:19:12Z,lotus flower, .
E5liFt9DK-o,2021-05-13T07:58:28Z,شلال الحكايات و القصص,C'est Degolas
E5liFt9DK-o,2021-05-12T23:37:26Z,Zineb Zineb, 🤣🤣🤣🤣
E5liFt9DK-o,2021-05-12T21:59:27Z,Habib Hiba, 🤣🤣🤣🤣🤣
E5liFt9DK-o,2021-05-12T21:44:49Z,Anais Emilie,Très belle tenue classe
E5liFt9DK-o,2021-05-12T19:45:30Z,Souad BenHabyles,Rabi yjjib echfa nchalah ton cas relève de la psychiatrie ma Petite je ne parle pas de la taille bien sûr mais plutôt du niveau que tu essaye d'atteindre avec tes haut talons
E5liFt9DK-o,2021-05-12T19:28:45Z,farid haddad,Dahak bassah nakkeraha.yakhi.hhjjjj
E5liFt9DK-o,2021-05-12T19:14:29Z,dekra Gaham, 😒🤦‍♀️
E5liFt9DK-o,2021-05-12T17:58:46Z,ouargli nassima,vraii bahloula
E5liFt9DK-o,2021-05-12T17:29:43Z,Chakib Mon fils,Samta tu ne peut pas imaginé chehal nekehek
E5liFt9DK-o,2021-05-12T16:47:28Z,Lonely, 😑
E5liFt9DK-o,2021-05-12T13:57:02Z,عيش ماشيئت فإنك ميت, 😂😂
E5liFt9DK-o,2021-05-12T12:53:00Z,ماماتي ماماتي, 💩💩💩💩
E5liFt9DK-o,2021-05-12T11:48:18Z,Saada Aloui,"Pour moi lemhabel sont ceux qui critiquent les autres gratuitement , yalathif que des com négatifs"
E5liFt9DK-o,2021-05-12T10:55:46Z,Manissa nousa, . . 
E5liFt9DK-o,2021-05-12T10:47:32Z,Choubik Loubik, .... .... _ .
E5liFt9DK-o,2021-05-12T05:31:08Z,Benkara Fathia,😮😮😮😮😮😮😮😮
E5liFt9DK-o,2021-05-12T02:12:58Z,Naima Kacemi, officiel et autorisée 🤭😳😱😨😰
E5liFt9DK-o,2021-05-12T00:41:43Z,Aymen Zaz, *** *** ^^^ .... ^^^*******^^
E5liFt9DK-o,2021-05-12T00:40:26Z,Aymen Zaz, ... . .. Live ...
E5liFt9DK-o,2021-05-11T22:05:19Z,Lame triste,Fi hyati ma cheft wahda jayha kima nti. Samta rahj ma andk aucun charme
E5liFt9DK-o,2021-05-11T20:53:01Z,Nour K, .
E5liFt9DK-o,2021-05-11T20:20:41Z,Amouna Mouna, . 
E5liFt9DK-o,2021-05-11T17:24:20Z,My Life, 😂😂😂😂
E5liFt9DK-o,2021-05-11T17:12:24Z,Kherradji Sohaibe, 🤮
E5liFt9DK-o,2021-05-11T17:10:58Z,Choucho Chahra, .....
E5liFt9DK-o,2021-05-11T16:49:00Z,SAFA7 dz السفاح, 🤣
E5liFt9DK-o,2021-05-11T15:44:40Z,Amina Mansouri,Raki serayra ysafare wejehk ktro rir lma3tohin fi had lebelad
E5liFt9DK-o,2021-05-11T15:11:14Z,Hakim labraoui Hakim labraoui,Wlah athbhdltttt thakvaylith
E5liFt9DK-o,2021-05-11T14:28:29Z,Kitty cat, .. ... ( )... .. ...
E5liFt9DK-o,2021-05-11T14:00:44Z,luiza Alouache, !!!!!!!!!!!!!?!!!
E5liFt9DK-o,2021-05-11T13:57:54Z,maya mimi, !!!! !!! 
E5liFt9DK-o,2021-05-11T13:52:47Z,سحر الشرق, ❤
E5liFt9DK-o,2021-05-11T13:50:38Z,سحر الشرق, ❤ ❤
E5liFt9DK-o,2021-05-11T13:48:40Z,Rabah Kefif, 😂😂😂😂 👀👀👀👀 😈😈😈😈😈😈
E5liFt9DK-o,2021-05-11T12:47:35Z,Toufik Bouali,Hadi sûrement masihiya (catholique)
E5liFt9DK-o,2021-05-11T12:46:11Z,Toufik Bouali,Jay nhark tkt
E5liFt9DK-o,2021-05-11T12:36:17Z,Ouafi Mohamed, 6 
E5liFt9DK-o,2021-05-11T12:12:05Z,Amel Hyunbin,Imbécile heureuse
E5liFt9DK-o,2021-05-11T12:11:33Z,yousra kikina, . . 
E5liFt9DK-o,2021-05-11T12:09:38Z,Amine Badi,"Salam familia 🙏.Quelle que soit la démarche, elle vous va merveilleusement bien 👍.Amine d'Alger 🇩🇿."
E5liFt9DK-o,2021-05-11T11:26:54Z,Amira Kerry,la taille
E5liFt9DK-o,2021-05-11T11:15:48Z,Amira Younsi,Franchement numidia perso j la deteste matkeltlich l 9elbi mais lkdeb hram tailleur ça lui va très bien et une belle taille et cilouette
E5liFt9DK-o,2021-05-11T10:03:37Z,Soumia Ben, 🤣 
E5liFt9DK-o,2021-05-11T09:36:21Z,Salsabil Sokara, 🙁😓😔
E5liFt9DK-o,2021-05-11T09:29:05Z,karima bchrb,Zine ou la taille ttapupitt
E5liFt9DK-o,2021-05-11T04:38:43Z,Rassim Ouacif,300 taxi
E5liFt9DK-o,2021-05-11T04:07:03Z,Tout Passe, . 
E5liFt9DK-o,2021-05-11T03:41:29Z,Lily Ben,Homa kamel khomadj bessah ki ychoufou numédia yele3bouha kamel el 3iffa w el akhla9
E5liFt9DK-o,2021-05-11T02:56:20Z,djad nor,Tfou
E5liFt9DK-o,2021-05-11T01:29:08Z,Riad Chaouch,https://youtu.be/T8LKYAttlHk
E5liFt9DK-o,2021-05-10T23:45:32Z,Adèle Dior,C'est qui elle ?
E5liFt9DK-o,2021-05-10T23:09:34Z,Souad Chawch,🤮🤮🤮🤮🤮🤮🤮
E5liFt9DK-o,2021-05-10T23:04:15Z,Mi Le, . 
E5liFt9DK-o,2021-05-10T22:45:36Z,yasmine topake,mahboula mranka hhhh
E5liFt9DK-o,2021-05-10T22:08:58Z,همسات إلينا,😒😒😒😒
E5liFt9DK-o,2021-05-10T21:47:24Z,aimad salim,A3a9999
E5liFt9DK-o,2021-05-10T21:25:24Z,Saliha Saliha,Nimporte quoid nekraha mata3jebnich khlas la hya la lokhra
E5liFt9DK-o,2021-05-10T21:19:28Z,Lilian Lilia,Les ponge🙄🙄😒😒😒tbahdil
E5liFt9DK-o,2021-05-10T20:53:29Z,ANNAīS49 MEWIS,C'est honteux sincèrement que sa existe des femmes de se genres ?
E5liFt9DK-o,2021-05-10T19:14:21Z,Pitchou Tatu, ........ 
E5liFt9DK-o,2021-05-10T18:58:25Z,MouradOr MérOoo84,Khem déjà takanarth arnou thikhlini sociala.
E5liFt9DK-o,2021-05-10T18:18:23Z,شاهدها و شاركها, 😉 😨
E5liFt9DK-o,2021-05-10T16:51:34Z,Karim Milano,9ololha raki kbira
E5liFt9DK-o,2021-05-10T16:10:21Z,ninou pro, !!
E5liFt9DK-o,2021-05-10T11:37:36Z,ALGERIEN.GRAND Reda, wc 
E5liFt9DK-o,2021-05-10T10:18:39Z,Yz Kz,YAKHY SAMTA 🤮🤮🤮🤮🤮
E5liFt9DK-o,2021-05-10T08:54:37Z,Aziz Saighi,kbira et djayha.dommage .va finder une famille avant twali ardjuiza
E5liFt9DK-o,2021-05-10T03:38:44Z,hiba اروع تلاوة للقران الكريمhiba, 😔😔😔😔
E5liFt9DK-o,2021-05-10T01:21:24Z,Malika Taghelite,"Numidia beauty and sweety cest un message que Tu es entrain de Donner D'apres ta demarche Numidia ramene nous chaou et Nadia benyouce Les grand chanteur , good luck sandrillant Malika from London"
